epochs, batch_size, dropout, learning_rate, accuracy,,93.3346519
300,16,0.4,0.0005,69.79832268,,
300,16,0.4,0.01,2.036741214,,
300,16,0.3,0.001,77.9303115,,
300,16,0.3,0.002,72.24440895,,
300,16,0.3,0.003,46.27096645,,
300,16,0.3,0.004,30.67591853,,
300,16,0.3,0.005,13.673123,,
300,16,0.3,0.0009,70.41733227,,
300,16,0.3,0.0008,78.6341853,,
300,16,0.3,0.0007,77.31629393,,
300,16,0.3,0.0006,72.42911342,,
300,16,0.3,0.0005,74.35603035,,
300,16,0.3,0.01,1.976837061,,
300,16,0.2,0.001,79.18829872,,
300,16,0.2,0.002,79.84724441,,
300,16,0.2,0.003,59.56469649,,
300,16,0.2,0.004,43.61521565,,
300,16,0.2,0.005,35.81269968,,
300,16,0.2,0.0009,80.67092652,,
300,16,0.2,0.0008,81.03035144,,
300,16,0.2,0.0007,80.09684505,,
300,16,0.2,0.0006,80.10682907,,
300,16,0.2,0.0005,76.53753994,,
300,16,0.2,0.01,1.941892971,,
300,16,0.1,0.001,82.66773163,,
300,16,0.1,0.002,75.72883387,,
300,16,0.1,0.003,65.31549521,,
300,16,0.1,0.004,40.28055112,,
300,16,0.1,0.005,34.77935304,,
300,16,0.1,0.0009,83.15694888,,
300,16,0.1,0.0008,82.68769968,,
300,16,0.1,0.0007,83.97064696,,
300,16,0.1,0.0006,82.05371406,,
300,16,0.1,0.0005,80.29153355,,
300,16,0.1,0.01,1.976837061,,
400,64,0.5,0.001,91.3568038,,
400,64,0.5,0.002,89.71518987,,
400,64,0.5,0.003,83.92009494,,
400,64,0.5,0.004,73.29905063,,
400,64,0.5,0.005,65.78322785,,
400,64,0.5,0.0009,92.06882911,,
400,64,0.5,0.0008,92.64240506,,
400,64,0.5,0.0007,92.40506329,,
400,64,0.5,0.0006,92.22705696,,
400,64,0.5,0.0005,90.58544304,,
400,64,0.5,0.01,1.95806962,,
400,64,0.8,0.001,86.19462025,,
400,64,0.8,0.002,83.70253165,,
400,64,0.8,0.003, ,,
